short_name,capacity,lon,name,station_id,lat,region_id,address
TA1307000070,23,-87.677409,Damen Ave & Thomas St (Augusta Blvd),a3a75885-a135-11e9-9cda-0a87ae2ba916,41.901315,,
KA1504000117,15,-87.64854490756989,Halsted St & North Branch St,a3ac7444-a135-11e9-9cda-0a87ae2ba916,41.89939028549696,,
RP-005,15,-87.6904922389,Western Ave & Lunt Ave,a3af5d1c-a135-11e9-9cda-0a87ae2ba916,42.0085943972,,
15541.1.1,39,-87.620483,Buckingham Fountain,1862806445904101456,41.876665,,
13345,15,-87.618034,Calumet Ave & 35th St,a3aae35a-a135-11e9-9cda-0a87ae2ba916,41.831379,,
13045,27,-87.629318,Dearborn St & Erie St,a3a5700b-a135-11e9-9cda-0a87ae2ba916,41.893992,,
KA1503000021,11,-87.586647,Stony Island Ave & 64th St,a3a528d0-a135-11e9-9cda-0a87ae2ba916,41.778881,,
18058,19,-87.682017,Leavitt St & Chicago Ave,a3b48c07-a135-11e9-9cda-0a87ae2ba916,41.895501,,
13133,19,-87.677335,Damen Ave & Cortland St,a3a80512-a135-11e9-9cda-0a87ae2ba916,41.915983,,
16918,11,-87.774453,Austin Blvd & Madison St,a3b1d532-a135-11e9-9cda-0a87ae2ba916,41.880281,,
23110,15,-87.7331,Keeler Ave & Carmen Ave,1882466626513795782,41.974323,,
13109,15,-87.659789,Broadway & Berwyn Ave,a3aa0bb7-a135-11e9-9cda-0a87ae2ba916,41.978361,,
583,11,-87.586005,Stony Island Ave & 82nd St,a3b29fae-a135-11e9-9cda-0a87ae2ba916,41.746559,,
TA1308000038,15,-87.6071,Cottage Grove Ave & Oakwood Blvd,a3a97a01-a135-11e9-9cda-0a87ae2ba916,41.822985,,
15449,11,-87.6265680185,State St & Pershing Rd,a3ad2d57-a135-11e9-9cda-0a87ae2ba916,41.82301523798,,
15648,15,-87.6893070063,Campbell Ave & Fullerton Ave,a3b01a86-a135-11e9-9cda-0a87ae2ba916,41.92463247165,,
KA1503000073,11,-87.6158532619,MLK Jr Dr & 56th St,a3ad7636-a135-11e9-9cda-0a87ae2ba916,41.79342945658,,
15666,11,-87.6962981368,California Ave & Lake St,a3acb1de-a135-11e9-9cda-0a87ae2ba916,41.88445395657,,
TA1307000129,15,-87.62679755687714,State St & 35th St,a3a75d8a-a135-11e9-9cda-0a87ae2ba916,41.8310363140161,,
PI00002,4,-87.612388,Streeter Dr/Grand Ave,1866476559603607834,41.892401,,
PI00003,4,-87.682306,Leavitt St/North Ave,1866477298337982542,41.910077,,
16010,11,-87.72785,Keystone Ave & Fullerton Ave,a3b35885-a135-11e9-9cda-0a87ae2ba916,41.92459,,
21357,15,-87.749458,Lamon Ave & Armitage Ave,1871990322214447924,41.91676,,
KA1504000155,11,-87.683593,2112 W Peterson Ave,a3af2216-a135-11e9-9cda-0a87ae2ba916,41.991178,,
KA1503000055,11,-87.6446208145,Halsted St & 63rd St,a3acd5b1-a135-11e9-9cda-0a87ae2ba916,41.77938114228,,
13193,19,-87.64414,Larrabee St & Webster Ave,a3a62025-a135-11e9-9cda-0a87ae2ba916,41.921822,,
KA1504000106,15,-87.7063037436,Kedzie Ave & Lake St,a3acacbc-a135-11e9-9cda-0a87ae2ba916,41.88460328501,,
15682,11,-87.7064961757,Kedzie Ave & Roosevelt Rd,a3adbedf-a135-11e9-9cda-0a87ae2ba916,41.86649278172,,
21312,15,-87.758544,Lockwood Ave & Wrightwood Ave,1872721624592814362,41.927766,,
16806,11,-87.669563,Bosworth Ave & Howard St,a3b0eb93-a135-11e9-9cda-0a87ae2ba916,42.019537,,
13042,23,-87.62377664,Michigan Ave & Oak St,a3a4f46b-a135-11e9-9cda-0a87ae2ba916,41.90096039,,
23101,11,-87.711217,McCormick Blvd & Devon Ave,1861588043429399408,41.997136,,
13068,15,-87.687022,Western Ave & Winnebago Ave,a3a58ee0-a135-11e9-9cda-0a87ae2ba916,41.91552,,
13191,15,-87.638888,Sedgwick St & Webster Ave,a3a61a0b-a135-11e9-9cda-0a87ae2ba916,41.922167,,
16937,11,-87.66454,Ashland Ave & McDowell Ave,a3b1ff34-a135-11e9-9cda-0a87ae2ba916,41.80887,,
652,11,-87.611726,Rhodes Ave & 71st St,a3b46866-a135-11e9-9cda-0a87ae2ba916,41.766,,
13307,15,-87.66355991363525,Laflin St & Cullerton St,a3a7cd56-a135-11e9-9cda-0a87ae2ba916,41.85491457576575,,
20116,15,-87.601252,Dauphin Ave & 87th St,625e37ea-24ea-4f13-9a54-6322466ec521,41.73648,,
20125,15,-87.6424241065979,Halsted St & 104th St,22afe78c-e8f7-4a80-969e-7ddeafdf49da,41.70513978893236,,
TA1309000050,19,-87.673308,Lincoln Ave & Addison St,a3aaca0e-a135-11e9-9cda-0a87ae2ba916,41.946176,,
596,15,-87.683485,Benson Ave & Church St,a3b2e20c-a135-11e9-9cda-0a87ae2ba916,42.048214,35,
KA1503000012,35,-87.6308760584,Clark St & Lake St,a3a42574-a135-11e9-9cda-0a87ae2ba916,41.88602082773,,
18016,11,-87.713949,Bernard St & Elston Ave,a3b42a3e-a135-11e9-9cda-0a87ae2ba916,41.949923,,
16903,11,-87.745261,Cicero Ave & Lake St,a3b10f66-a135-11e9-9cda-0a87ae2ba916,41.886841,,
TA1307000164,19,-87.596471,Woodlawn Ave & 55th St,a3a89488-a135-11e9-9cda-0a87ae2ba916,41.795264,,
KA1503000049.1,15,-87.54938625,Rainbow - Beach,1870208802121658482,41.75787144829,,
SL-008,19,-87.6295437729,Federal St & Polk St,a3a434ce-a135-11e9-9cda-0a87ae2ba916,41.87207763285,,
13257,15,-87.689556,Campbell Ave & North Ave,a3a6e359-a135-11e9-9cda-0a87ae2ba916,41.910535,,
515,19,-87.673573,Paulina St & Howard St,a3b0d1d5-a135-11e9-9cda-0a87ae2ba916,42.019159,,
TA1308000014,11,-87.640591,Normal Ave & Archer Ave,a3a7d279-a135-11e9-9cda-0a87ae2ba916,41.849527,,
KA1503000040,11,-87.6574349533,Loomis St & Archer Ave,a3ac7978-a135-11e9-9cda-0a87ae2ba916,41.84163253965,,
15664,27,-87.688257,Artesian Ave & Hubbard St,a3aca790-a135-11e9-9cda-0a87ae2ba916,41.8895,,
549,11,-87.666589,Marshfield Ave & 44th St,a3b1efd6-a135-11e9-9cda-0a87ae2ba916,41.813996,,
20221,15,-87.55972623825073,Torrence Ave & 106th St,14d6e4b0-d0cc-4ccb-b757-e596d8c24a99,41.702800850225906,,
TA1307000127,23,-87.659172,Clark St & Grace St,a3a6fcac-a135-11e9-9cda-0a87ae2ba916,41.95078,,
20235,15,-87.59729862213135,Greenwood Ave & 91st St,c4040b17-88bd-40ab-9aae-2655d6771580,41.728264268162725,,
517,11,-87.675005,Clark St & Jarvis Ave,a3b0d6ec-a135-11e9-9cda-0a87ae2ba916,42.015963,,
15655,15,-87.705126462,Albany Ave & Bloomingdale Ave,a3b0bd42-a135-11e9-9cda-0a87ae2ba916,41.91402671273,,
20233,15,-87.6439021574879,Halsted St & 78th St,c3f1be96-07c2-4c65-8a1d-f2203de88495,41.75248701249013,,
13289,19,-87.66098386,Eckhart Park,a3a4f993-a135-11e9-9cda-0a87ae2ba916,41.89637337,,
TA1306000008,19,-87.6435,Larrabee St & North Ave,a3a3eb9a-a135-11e9-9cda-0a87ae2ba916,41.91021,,
E007,15,-87.686152,Central St & Girard Ave,a3b300d3-a135-11e9-9cda-0a87ae2ba916,42.064313,35,
E011,15,-87.69918769598006,Dodge Ave & Main St,a3b377cb-a135-11e9-9cda-0a87ae2ba916,42.03463185161588,35,
15530,23,-87.6259080327,Rush St & Superior St,a3a6e866-a135-11e9-9cda-0a87ae2ba916,41.89576474564,,
13290,15,-87.662607,Noble St & Milwaukee Ave,a3a3f5e9-a135-11e9-9cda-0a87ae2ba916,41.9007,,
